Magnetic Field.X,Magnetic Field.Y,Magnetic Field.Z,,Measured Magnetic Field Vector.X,Measured Magnetic Field Vector.Y,Magnetic Field Vector.Z,,,Declination,Geocentric Latitude,Geodetic Latitude,Altitude
3.44E+04,1.69E+04,-8041,,3.44E-05,1.69E-05,-8.06E-06,,,-15.31,-15.31,-15.41,420.5
-1.20E+04,-3.69E+04,2009,,-1.20E-05,-3.69E-05,1.98E-06,,,-14.82,-14.82,-14.91,420.4
-1.86E+04,2.19E+04,2.58E+04,,-1.86E-05,2.19E-05,2.57E-05,,,-14.32,-14.32,-14.41,420.2
3.19E+04,-2033,2.12E+04,,3.19E-05,-2.04E-06,2.12E-05,,,-13.83,-13.83,-13.91,420.1
-2.67E+04,-9356,2.55E+04,,-2.67E-05,-9.39E-06,2.55E-05,,,-13.33,-13.33,-13.41,420
1.10E+04,1.68E+04,3.20E+04,,1.10E-05,1.68E-05,3.20E-05,,,-12.83,-12.83,-12.91,419.8
1.48E+04,-2.90E+04,1.87E+04,,1.48E-05,-2.90E-05,1.87E-05,,,-12.33,-12.33,-12.41,419.7
-3.33E+04,1.34E+04,9903,,-3.34E-05,1.33E-05,9.89E-06,,,-11.83,-11.83,-11.91,419.6
2.92E+04,1.73E+04,1.47E+04,,2.92E-05,1.73E-05,1.47E-05,,,-11.34,-11.34,-11.4,419.4
1832,-3.62E+04,-5663,,1.82E-06,-3.63E-05,-5.64E-06,,,-10.83,-10.83,-10.9,419.3
-2.88E+04,2.19E+04,-4820,,-2.88E-05,2.18E-05,-4.80E-06,,,-10.33,-10.33,-10.4,419.2
3.40E+04,1.25E+04,951.8,,3.39E-05,1.24E-05,9.63E-07,,,-9.832,-9.832,-9.893,419.1
-9650,-3.23E+04,-1.25E+04,,-9.64E-06,-3.23E-05,-1.25E-05,,,-9.33,-9.33,-9.388,419
-2.20E+04,2.81E+04,-214.9,,-2.20E-05,2.80E-05,-2.14E-07,,,-8.828,-8.828,-8.883,418.8
3.43E+04,8035,3318,,3.44E-05,8.03E-06,3.34E-06,,,-8.325,-8.325,-8.377,418.7
-1.56E+04,-3.14E+04,-2662,,-1.56E-05,-3.14E-05,-2.64E-06,,,-7.822,-7.822,-7.871,418.6
-1.86E+04,2.48E+04,1.61E+04,,-1.86E-05,2.48E-05,1.61E-05,,,-7.318,-7.318,-7.364,418.5
3.17E+04,8038,1.15E+04,,3.17E-05,8.01E-06,1.14E-05,,,-6.814,-6.814,-6.857,418.4
-1.48E+04,-2.80E+04,1.35E+04,,-1.48E-05,-2.81E-05,1.35E-05,,,-6.309,-6.309,-6.349,418.3
-1.53E+04,1.48E+04,2.68E+04,,-1.53E-05,1.48E-05,2.68E-05,,,-5.805,-5.805,-5.841,418.2
2.76E+04,7292,1.84E+04,,2.76E-05,7.24E-06,1.84E-05,,,-5.3,-5.3,-5.333,418.1
-1.17E+04,-1.88E+04,2.55E+04,,-1.17E-05,-1.88E-05,2.55E-05,,,-4.794,-4.794,-4.824,418
-1.25E+04,8885,2.98E+04,,-1.25E-05,8.87E-06,2.98E-05,,,-4.289,-4.289,-4.316,417.9
2.43E+04,4102,2.24E+04,,2.43E-05,4.10E-06,2.23E-05,,,-3.783,-3.783,-3.807,417.8
-9383,-1.07E+04,2.99E+04,,-9.41E-06,-1.06E-05,2.99E-05,,,-3.277,-3.277,-3.297,417.8
-1.22E+04,8556,2.93E+04,,-1.22E-05,8.57E-06,2.93E-05,,,-2.771,-2.771,-2.788,417.7
2.27E+04,1257,2.35E+04,,2.27E-05,1.27E-06,2.35E-05,,,-2.264,-2.264,-2.278,417.6
-6274,-8077,3.08E+04,,-6.27E-06,-8.08E-06,3.08E-05,,,-1.758,-1.758,-1.769,417.5
-1.52E+04,1.02E+04,2.66E+04,,-1.52E-05,1.02E-05,2.66E-05,,,-1.251,-1.251,-1.259,417.4
2.07E+04,1833,2.45E+04,,2.07E-05,1.86E-06,2.45E-05,,,-0.7445,-0.7445,-0.7492,417.4
-290,-9557,3.04E+04,,-2.82E-07,-9.55E-06,3.04E-05,,,-0.2378,-0.2378,-0.2393,417.3
-1.97E+04,8807,2.33E+04,,-1.97E-05,8.81E-06,2.32E-05,,,0.2689,0.2689,0.2706,417.2
1.56E+04,5268,2.69E+04,,1.56E-05,5.27E-06,2.69E-05,,,0.7756,0.7756,0.7805,417.2
8719,-1.12E+04,2.80E+04,,8.73E-06,-1.12E-05,2.80E-05,,,1.282,1.282,1.29,417.1
-2.14E+04,2397,2.27E+04,,-2.13E-05,2.39E-06,2.27E-05,,,1.789,1.789,1.8,417.1
5871,9123,2.91E+04,,5.89E-06,9.13E-06,2.91E-05,,,2.295,2.295,2.31,417
1.83E+04,-7840,2.37E+04,,1.83E-05,-7.84E-06,2.37E-05,,,2.802,2.802,2.82,416.9
-1.57E+04,-6166,2.58E+04,,-1.57E-05,-6.18E-06,2.58E-05,,,3.308,3.308,3.329,416.9
-8202,9639,2.79E+04,,-8.21E-06,9.65E-06,2.80E-05,,,3.814,3.814,3.838,416.9
2.21E+04,3528,2.08E+04,,2.21E-05,3.55E-06,2.08E-05,,,4.32,4.32,4.348,416.8
-1139,-1.13E+04,2.82E+04,,-1.14E-06,-1.13E-05,2.82E-05,,,4.826,4.826,4.856,416.8
-2.11E+04,1603,2.17E+04,,-2.11E-05,1.60E-06,2.17E-05,,,5.332,5.332,5.365,416.7
1.28E+04,1.69E+04,2.16E+04,,1.28E-05,1.69E-05,2.16E-05,,,5.837,5.837,5.874,416.7
1.74E+04,-7475,2.34E+04,,1.74E-05,-7.48E-06,2.34E-05,,,6.342,6.342,6.382,416.7
-2.21E+04,-1.53E+04,1.33E+04,,-2.21E-05,-1.53E-05,1.33E-05,,,6.847,6.847,6.89,416.6
-8672,1.98E+04,2.07E+04,,-8.66E-06,1.98E-05,2.07E-05,,,7.351,7.351,7.397,416.6
2.74E+04,7345,9308,,2.74E-05,7.35E-06,9.31E-06,,,7.855,7.855,7.904,416.6
-3917,-2.87E+04,7210,,-3.94E-06,-2.86E-05,7.21E-06,,,8.359,8.359,8.411,416.6
-2.74E+04,5044,1.04E+04,,-2.74E-05,5.06E-06,1.04E-05,,,8.862,8.862,8.917,416.6
1.54E+04,2.47E+04,-6066,,1.54E-05,2.47E-05,-6.07E-06,,,9.365,9.365,9.423,416.5
2.24E+04,-1.92E+04,2988,,2.24E-05,-1.92E-05,3.01E-06,,,9.867,9.867,9.928,416.5
-2.23E+04,-1.85E+04,-6244,,-2.23E-05,-1.85E-05,-6.23E-06,,,10.37,10.37,10.43,416.5
-1.43E+04,2.43E+04,-8914,,-1.43E-05,2.43E-05,-8.90E-06,,,10.87,10.87,10.94,416.5
2.70E+04,1.18E+04,-1533,,2.71E-05,1.18E-05,-1.51E-06,,,11.37,11.37,11.44,416.5
8392,-2.61E+04,-1.09E+04,,8.42E-06,-2.61E-05,-1.09E-05,,,11.87,11.87,11.94,416.5
-2.90E+04,-2195,4727,,-2.90E-05,-2.19E-06,4.78E-06,,,12.37,12.37,12.45,416.5
-2251,2.94E+04,312.8,,-2.24E-06,2.94E-05,3.81E-07,,,12.87,12.87,12.95,416.5
2.82E+04,-4198,7283,,2.83E-05,-4.18E-06,7.34E-06,,,13.37,13.37,13.45,416.5
-2882,-2.27E+04,1.85E+04,,-2.87E-06,-2.27E-05,1.85E-05,,,13.87,13.87,13.95,416.5
-2.61E+04,4719,1.29E+04,,-2.61E-05,4.74E-06,1.29E-05,,,14.36,14.36,14.45,416.5
2183,1.78E+04,2.34E+04,,2.17E-06,1.78E-05,2.34E-05,,,14.86,14.86,14.95,416.6
2.72E+04,555.1,1.15E+04,,2.72E-05,5.57E-07,1.15E-05,,,15.35,15.35,15.45,416.6
-109,-2.53E+04,1.53E+04,,-8.95E-08,-2.53E-05,1.53E-05,,,15.85,15.85,15.94,416.6
-2.93E+04,11.92,4159,,-2.93E-05,-2.52E-09,4.20E-06,,,16.34,16.34,16.44,416.6
2760,2.82E+04,-8437,,2.78E-06,2.82E-05,-8.42E-06,,,16.83,16.83,16.93,416.6
2.91E+04,-1572,-5606,,2.91E-05,-1.62E-06,-5.63E-06,,,17.33,17.33,17.43,416.7
424.8,-2.31E+04,-1.86E+04,,4.29E-07,-2.32E-05,-1.86E-05,,,17.82,17.82,17.92,416.7
-2.93E+04,-3057,-4270,,-2.93E-05,-3.07E-06,-4.29E-06,,,18.31,18.31,18.41,416.7
-5984,2.79E+04,-8678,,-6.00E-06,2.78E-05,-8.71E-06,,,18.8,18.8,18.91,416.8
2.89E+04,4908,5669,,2.89E-05,4.92E-06,5.61E-06,,,19.28,19.28,19.4,416.8
8827,-2.50E+04,1.39E+04,,8.85E-06,-2.50E-05,1.38E-05,,,19.77,19.77,19.88,416.8
-2.52E+04,-1.19E+04,1.09E+04,,-2.52E-05,-1.20E-05,1.09E-05,,,20.26,20.26,20.37,416.9
-1.71E+04,2.01E+04,1.45E+04,,-1.71E-05,2.00E-05,1.45E-05,,,20.74,20.74,20.86,416.9
2.32E+04,1.75E+04,-7908,,2.32E-05,1.75E-05,-7.88E-06,,,21.22,21.22,21.34,417
2.21E+04,-1.98E+04,-5495,,2.21E-05,-1.98E-05,-5.48E-06,,,21.7,21.7,21.83,417
-1.36E+04,-1.72E+04,-2.09E+04,,-1.36E-05,-1.72E-05,-2.09E-05,,,22.18,22.18,22.31,417
-2.71E+04,4516,-1.28E+04,,-2.72E-05,4.50E-06,-1.29E-05,,,22.66,22.66,22.79,417.1
2011,2.92E+04,-8575,,2.02E-06,2.92E-05,-8.57E-06,,,23.14,23.14,23.27,417.1
3.03E+04,3547,981,,3.03E-05,3.57E-06,9.65E-07,,,23.62,23.62,23.75,417.2
8271,-2.59E+04,1.41E+04,,8.30E-06,-2.59E-05,1.41E-05,,,24.09,24.09,24.23,417.3
-2.70E+04,-1.47E+04,413.6,,-2.69E-05,-1.47E-05,4.17E-07,,,24.57,24.57,24.7,417.3
-2.04E+04,2.31E+04,1378,,-2.04E-05,2.31E-05,1.39E-06,,,25.04,25.04,25.18,417.4
1.56E+04,1.41E+04,-2.27E+04,,1.56E-05,1.41E-05,-2.27E-05,,,25.51,25.51,25.65,417.4
2.51E+04,-4226,-1.77E+04,,2.51E-05,-4.21E-06,-1.77E-05,,,25.98,25.98,26.12,417.5
4385,-2.40E+04,-1.94E+04,,4.40E-06,-2.39E-05,-1.94E-05,,,26.44,26.44,26.59,417.6
-2.84E+04,-1.32E+04,914.6,,-2.84E-05,-1.32E-05,9.25E-07,,,26.91,26.91,27.06,417.6
-1.79E+04,2.52E+04,5535,,-1.80E-05,2.52E-05,5.53E-06,,,27.37,27.37,27.52,417.7
1.87E+04,2.53E+04,-1717,,1.87E-05,2.53E-05,-1.74E-06,,,27.84,27.84,27.98,417.8
2.69E+04,-1.48E+04,-7608,,2.69E-05,-1.48E-05,-7.64E-06,,,28.3,28.3,28.45,417.8
-857.3,-1.63E+04,-2.73E+04,,-8.62E-07,-1.63E-05,-2.73E-05,,,28.75,28.75,28.91,417.9
-2.23E+04,-1.40E+04,-1.81E+04,,-2.22E-05,-1.40E-05,-1.80E-05,,,29.21,29.21,29.36,418
-2.47E+04,1.16E+04,-1.68E+04,,-2.47E-05,1.16E-05,-1.68E-05,,,29.66,29.66,29.82,418
1.09E+04,2.95E+04,6770,,1.09E-05,2.95E-05,6.75E-06,,,30.11,30.11,30.27,418.1
3.12E+04,-4149,-7202,,3.12E-05,-4.16E-06,-7.24E-06,,,30.56,30.56,30.72,418.2
7800,-2.97E+04,-1.03E+04,,7.79E-06,-2.97E-05,-1.04E-05,,,31.01,31.01,31.17,418.3
-1.69E+04,-5523,-2.73E+04,,-1.69E-05,-5.52E-06,-2.73E-05,,,31.46,31.46,31.62,418.3
-2.46E+04,-3992,-2.11E+04,,-2.46E-05,-4.01E-06,-2.12E-05,,,31.9,31.9,32.06,418.4
-8326,2.88E+04,-1.33E+04,,-8.33E-06,2.88E-05,-1.33E-05,,,32.34,32.34,32.5,418.5
2.53E+04,2.09E+04,-3112,,2.53E-05,2.08E-05,-3.15E-06,,,32.78,32.78,32.94,418.6
2.38E+04,-2.25E+04,-4701,,2.38E-05,-2.25E-05,-4.73E-06,,,33.21,33.21,33.38,418.6
-6973,-1.73E+04,-2.75E+04,,-6.96E-06,-1.73E-05,-2.75E-05,,,33.64,33.64,33.81,418.7
-1.81E+04,-7314,-2.71E+04,,-1.81E-05,-7.30E-06,-2.71E-05,,,34.07,34.07,34.24,418.8
-2.52E+04,850,-2.21E+04,,-2.52E-05,8.54E-07,-2.21E-05,,,34.5,34.5,34.67,418.9
2352,3.36E+04,-650.1,,2.31E-06,3.36E-05,-6.56E-07,,,34.92,34.92,35.09,419
2.91E+04,5828,-1.62E+04,,2.91E-05,5.81E-06,-1.62E-05,,,35.35,35.35,35.52,419
1.52E+04,-2.43E+04,-1.82E+04,,1.52E-05,-2.43E-05,-1.82E-05,,,35.76,35.76,35.93,419.1
-1649,-4829,-3.37E+04,,-1.65E-06,-4.85E-06,-3.37E-05,,,36.18,36.18,36.35,419.2
-2.00E+04,-2.23E+04,-1.67E+04,,-2.00E-05,-2.23E-05,-1.67E-05,,,36.59,36.59,36.76,419.3
-2.70E+04,1.39E+04,-1.63E+04,,-2.70E-05,1.39E-05,-1.63E-05,,,37,37,37.17,419.4
3703,3.35E+04,-7743,,3.71E-06,3.35E-05,-7.74E-06,,,37.4,37.4,37.58,419.4
2.05E+04,-6907,-2.72E+04,,2.05E-05,-6.89E-06,-2.72E-05,,,37.81,37.81,37.98,419.5
1.52E+04,1938,-3.14E+04,,1.52E-05,1.95E-06,-3.14E-05,,,38.2,38.2,38.38,419.6
1.10E+04,-1.97E+04,-2.69E+04,,1.10E-05,-1.97E-05,-2.68E-05,,,38.6,38.6,38.78,419.7
