Magnetic Field.X,Magnetic Field.Y,Magnetic Field.Z,,Magnetometer X,Magnetometer Y,Magnetometer Z,,,,
-3.28E+04,-1.02E+04,3.36E+04,,-3.28E-05,-1.02E-05,3.35E-05,,0.00E+00,-4.60E+01,3.85E+01
-4.71E+04,8984,740.5,,-4.71E-05,9.03E-06,7.02E-07,,-1.00E+02,-1.00E+02,0.00E+00
-2.83E+04,2.01E+04,-3.29E+04,,-2.82E-05,2.02E-05,-3.29E-05,,0.00E+00,0.00E+00,0.00E+00
1.04E+04,2.60E+04,-3.86E+04,,1.04E-05,2.60E-05,-3.86E-05,,0.00E+00,1.00E+02,0.00E+00
4.03E+04,2.26E+04,-1.14E+04,,4.03E-05,2.25E-05,-1.14E-05,,1.00E+02,1.60E+00,0.00E+00
4.13E+04,436.6,2.33E+04,,4.12E-05,4.35E-07,2.33E-05,,0.00E+00,0.00E+00,0.00E+00
1.74E+04,-3.31E+04,2.89E+04,,1.74E-05,-3.31E-05,2.89E-05,,1.00E+02,0.00E+00,-1.00E+01
-1.36E+04,-4.51E+04,1590,,-1.37E-05,-4.51E-05,1.60E-06,,0.00E+00,0.00E+00,-1.00E+02
-3.89E+04,-2.15E+04,-1.53E+04,,-3.89E-05,-2.15E-05,-1.52E-05,,0.00E+00,1.30E+01,-1.10E+01
-4.61E+04,6833,4479,,-4.61E-05,6.82E-06,4.49E-06,,1.00E+02,0.00E+00,0.00E+00
-2.57E+04,1.53E+04,3.58E+04,,-2.58E-05,1.53E-05,3.58E-05,,0.00E+00,1.00E+01,0.00E+00
1.21E+04,8340,4.41E+04,,1.21E-05,8.33E-06,4.41E-05,,0.00E+00,9.00E+00,0.00E+00
4.10E+04,-3271,2.11E+04,,4.10E-05,-3.28E-06,2.11E-05,,0.00E+00,0.00E+00,0.00E+00
4.06E+04,-1.75E+04,-1.31E+04,,4.06E-05,-1.75E-05,-1.31E-05,,0.00E+00,0.00E+00,-1.00E+02
1.32E+04,-3.39E+04,-2.80E+04,,1.32E-05,-3.39E-05,-2.79E-05,,0.00E+00,0.00E+00,-9.00E+00
-1.86E+04,-4.08E+04,-8669,,-1.86E-05,-4.08E-05,-8.66E-06,,0.00E+00,0.00E+00,0.00E+00
-3.38E+04,-1.95E+04,2.34E+04,,-3.38E-05,-1.95E-05,2.34E-05,,1.00E+02,0.00E+00,0.00E+00
-2.93E+04,2.17E+04,2.68E+04,,-2.94E-05,2.17E-05,2.68E-05,,2.00E+01,0.00E+00,-5.20E+01
-9800,4.39E+04,-1742,,-9.82E-06,4.39E-05,-1.69E-06,,0.00E+00,0.00E+00,0.00E+00
1.93E+04,3.47E+04,-2.08E+04,,1.93E-05,3.47E-05,-2.08E-05,,1.00E+02,-1.00E+02,-2.70E+01
4.09E+04,1.64E+04,-6947,,4.08E-05,1.65E-05,-6.92E-06,,0.00E+00,-4.90E+01,0.00E+00
